order_id,customer_id,order_date,status,region_code
1,413,2023-12-06 18:43:08,SHIPPED,SOUTH
2,290,2023-10-27 17:36:13,PLACED,SOUTH
3,119,2023-05-09 09:37:29,PLACED,SOUTH
4,406,2025-01-09 14:07:48,CANCELLED,NORTH
5,,2024-10-25 03:45:29,RETURNED,EAST
6,135,2023-12-23 13:42:49,DELIVERED,NORTH
7,193,2024-04-01 18:48:01,DELIVERED,WEST
8,455,2023-01-14 18:16:16,CANCELLED,SOUTH
9,264,2024-07-29 07:42:03,SHIPPED,EAST
10,419,2023-08-31 08:23:11,DELIVERED,NORTH
11,246,2025-09-08 07:40:17,CANCELLED,NORTH
12,66,2023-11-26 04:54:18,PLACED,SOUTH
13,133,2024-01-04 18:48:37,RETURNED,NORTH
14,373,2024-08-03 03:07:19,RETURNED,WEST
15,88,2024-03-25 14:57:20,RETURNED,SOUTH
16,262,2024-06-25 06:06:23,DELIVERED,WEST
17,36,2024-04-15 13:46:12,PLACED,NORTH
18,441,2025-10-29 15:17:03,RETURNED,NORTH
19,462,2023-03-21 19:20:55,PLACED,NORTH
20,67,2023-01-03 23:38:16,CANCELLED,EAST
21,358,2025-12-21 15:37:04,CANCELLED,WEST
22,412,2023-07-20 15:29:29,CANCELLED,SOUTH
23,43,2024-08-03 21:46:59,CANCELLED,EAST
24,364,2023-01-15 21:02:37,RETURNED,NORTH
25,106,2024-10-08 14:53:08,SHIPPED,WEST
26,130,2024-06-19 19:31:08,DELIVERED,EAST
27,204,2024-02-22 15:02:42,RETURNED,WEST
28,287,2025-09-17 09:14:23,RETURNED,EAST
29,204,2023-10-10 04:20:08,CANCELLED,SOUTH
30,261,2025-03-31 12:19:19,RETURNED,NORTH
31,494,2023-01-11 03:18:59,CANCELLED,WEST
32,135,30-03-2024,PLACED,WEST
33,206,2025-12-03 10:25:48,RETURNED,NORTH
34,420,2023-12-25 23:18:44,PLACED,SOUTH
35,477,2025-11-27 10:24:47,RETURNED,SOUTH
36,346,2023-03-15 13:05:51,PLACED,SOUTH
37,142,2025-03-29 12:51:25,CANCELLED,SOUTH
38,378,2023-05-21 03:16:58,RETURNED,EAST
39,418,2024-07-20 08:14:21,SHIPPED,WEST
40,295,2023-01-10 09:30:23,RETURNED,NORTH
41,258,2024-08-25 12:22:40,RETURNED,EAST
42,417,2024-05-27 16:07:14,RETURNED,WEST
43,388,2024-11-26 16:42:22,RETURNED,NORTH
44,133,2023-05-19 13:55:57,SHIPPED,SOUTH
45,212,2024-12-24 18:48:19,DELIVERED,SOUTH
46,205,2024-12-01 02:46:05,SHIPPED,WEST
47,112,2024-07-05 06:39:17,SHIPPED,WEST
48,121,2024-05-10 09:39:47,SHIPPED,SOUTH
49,183,2023-11-16 03:53:03,PLACED,WEST
50,392,2023-03-28 17:33:34,DELIVERED,WEST
51,452,2024-07-16 17:52:10,RETURNED,EAST
52,385,2023-09-20 01:58:17,CANCELLED,WEST
53,17,2025-10-26 12:38:39,SHIPPED,WEST
54,358,2025-11-27 16:45:02,PLACED,NORTH
55,195,2023-07-26 11:50:55,DELIVERED,SOUTH
56,122,2024-07-05 17:09:40,DELIVERED,EAST
57,218,2024-03-07 15:15:31,DELIVERED,EAST
58,144,2025-07-12 06:32:58,RETURNED,SOUTH
59,370,2024-07-06 08:35:07,CANCELLED,SOUTH
60,492,2023-11-03 17:13:15,SHIPPED,WEST
61,458,2025-11-24 19:26:30,CANCELLED,EAST
62,440,08-04-2023,SHIPPED,NORTH
63,131,02-09-2025,DELIVERED,EAST
64,287,11-06-2024,PLACED,EAST
65,494,2024-02-12 21:00:09,RETURNED,SOUTH
66,146,2024-12-28 11:50:10,CANCELLED,WEST
67,196,2024-08-09 16:53:04,SHIPPED,SOUTH
68,476,2024-11-21 15:21:28,RETURNED,WEST
69,37,2023-06-12 05:53:53,DELIVERED,EAST
70,364,2024-07-01 22:02:29,DELIVERED,WEST
71,481,2025-01-13 21:22:08,CANCELLED,WEST
72,438,2023-02-17 04:33:09,DELIVERED,NORTH
73,204,30-07-2023,CANCELLED,NORTH
74,,2025-03-24 19:04:39,PLACED,NORTH
75,80,2023-06-22 23:50:30,CANCELLED,EAST
76,378,2024-08-04 16:08:05,SHIPPED,SOUTH
77,,2024-12-31 11:50:24,CANCELLED,EAST
78,70,2023-12-29 21:30:41,RETURNED,WEST
79,328,2025-12-29 11:16:27,CANCELLED,SOUTH
80,227,2024-09-22 13:19:03,SHIPPED,EAST
81,,2025-12-07 04:57:45,CANCELLED,NORTH
82,252,04-09-2025,CANCELLED,EAST
83,408,2023-01-15 19:57:35,CANCELLED,WEST
84,84,2025-03-09 13:46:32,PLACED,WEST
85,265,2024-07-10 10:21:53,RETURNED,EAST
86,437,2023-05-21 06:38:28,PLACED,WEST
87,140,2025-10-04 06:50:13,SHIPPED,NORTH
88,12,2024-01-16 03:43:25,SHIPPED,WEST
89,120,04-07-2023,SHIPPED,EAST
90,403,2025-10-17 13:31:19,PLACED,EAST
91,385,2023-10-27 02:02:25,CANCELLED,NORTH
92,93,2024-01-29 09:06:18,PLACED,NORTH
93,366,2024-05-24 14:00:36,CANCELLED,SOUTH
94,18,2024-02-12 16:46:42,PLACED,SOUTH
95,349,2024-10-01 11:45:44,PLACED,NORTH
96,327,2024-09-03 07:14:07,PLACED,SOUTH
97,121,08-06-2025,DELIVERED,NORTH
98,125,2023-01-19 01:31:44,CANCELLED,SOUTH
99,46,2024-05-24 05:44:29,RETURNED,EAST
100,389,2023-05-03 02:10:34,SHIPPED,NORTH
101,120,2024-10-10 20:19:44,DELIVERED,WEST
102,11,2025-02-12 13:02:25,DELIVERED,NORTH
103,225,2024-08-26 19:45:37,SHIPPED,SOUTH
104,166,2025-08-17 10:01:27,RETURNED,SOUTH
105,80,2025-07-09 10:45:54,RETURNED,EAST
106,398,2025-11-02 13:48:01,PLACED,EAST
107,123,2024-10-18 02:18:22,RETURNED,WEST
108,350,2025-10-15 20:04:41,DELIVERED,EAST
109,165,2023-08-15 03:30:16,PLACED,NORTH
110,67,2024-01-01 01:08:19,CANCELLED,SOUTH
111,293,2025-03-06 23:57:15,RETURNED,EAST
112,,2024-03-28 22:03:43,PLACED,SOUTH
113,476,2023-06-13 17:02:29,PLACED,EAST
114,481,2025-05-01 13:26:14,PLACED,EAST
115,376,25-05-2023,SHIPPED,NORTH
116,119,2025-12-24 14:01:46,RETURNED,SOUTH
117,486,2024-01-02 20:19:53,CANCELLED,NORTH
118,296,2025-01-03 16:42:05,CANCELLED,NORTH
119,93,2025-04-02 18:22:31,SHIPPED,WEST
120,463,2024-10-07 20:01:40,DELIVERED,EAST
121,325,2025-05-31 11:46:35,RETURNED,SOUTH
122,282,2024-06-04 13:06:27,CANCELLED,WEST
123,,2023-03-12 10:21:27,RETURNED,SOUTH
124,155,2023-01-14 10:56:05,SHIPPED,EAST
125,,2024-07-19 20:09:29,RETURNED,SOUTH
126,236,2024-12-29 05:41:01,DELIVERED,SOUTH
127,416,2024-09-07 03:20:46,RETURNED,SOUTH
128,371,2024-10-26 17:34:06,RETURNED,NORTH
129,154,2023-03-18 20:58:54,PLACED,EAST
130,419,2025-06-08 15:09:54,PLACED,SOUTH
131,435,2023-01-24 23:04:44,CANCELLED,NORTH
132,22,2024-10-15 19:39:29,DELIVERED,SOUTH
133,345,2025-03-15 16:13:27,RETURNED,NORTH
134,149,2025-03-18 05:23:20,PLACED,WEST
135,26,28-03-2025,RETURNED,WEST
136,67,2023-10-04 17:30:35,CANCELLED,WEST
137,101,2025-12-09 08:57:55,DELIVERED,WEST
138,474,2023-07-03 04:05:49,CANCELLED,EAST
139,165,2024-12-06 21:37:20,DELIVERED,SOUTH
140,316,2025-06-24 22:41:21,PLACED,SOUTH
141,192,2023-11-16 03:07:27,PLACED,SOUTH
142,475,30-10-2023,PLACED,EAST
143,12,2024-11-10 07:36:35,SHIPPED,SOUTH
144,385,2024-06-13 19:58:52,SHIPPED,NORTH
145,464,2025-12-14 01:34:59,PLACED,EAST
146,357,2024-07-09 01:55:57,PLACED,NORTH
147,139,07-01-2025,CANCELLED,SOUTH
148,261,2023-07-23 11:29:07,RETURNED,NORTH
149,257,2025-07-26 20:24:50,PLACED,NORTH
150,272,2024-09-16 12:08:41,SHIPPED,NORTH
151,181,2024-12-28 22:45:50,RETURNED,EAST
152,321,2024-06-11 14:05:47,PLACED,EAST
153,175,2025-03-15 23:55:05,CANCELLED,SOUTH
154,294,2023-11-09 15:31:37,RETURNED,EAST
155,68,2024-02-28 23:45:20,RETURNED,SOUTH
156,159,2025-12-08 04:55:27,SHIPPED,SOUTH
157,286,2025-12-27 04:18:37,SHIPPED,NORTH
158,451,2025-04-27 14:58:23,DELIVERED,SOUTH
159,55,27-09-2023,RETURNED,EAST
160,314,2024-04-17 21:42:46,PLACED,EAST
161,400,2025-09-03 04:52:55,RETURNED,WEST
162,192,2024-01-12 14:06:25,SHIPPED,SOUTH
163,17,2025-04-16 00:32:47,CANCELLED,SOUTH
164,104,2024-02-23 02:24:28,CANCELLED,WEST
165,444,2025-07-26 08:59:06,PLACED,WEST
166,202,2025-12-11 23:21:08,PLACED,NORTH
167,424,2023-03-28 08:56:47,CANCELLED,NORTH
168,265,2023-04-11 06:54:44,CANCELLED,EAST
169,147,2025-08-02 06:03:41,RETURNED,NORTH
170,463,2023-10-19 16:52:42,CANCELLED,NORTH
171,58,2024-01-04 21:18:55,RETURNED,SOUTH
172,166,2025-07-12 00:54:25,RETURNED,SOUTH
173,47,2024-05-27 11:47:57,SHIPPED,NORTH
174,362,2025-07-09 23:05:09,RETURNED,WEST
175,500,2025-11-13 22:17:05,CANCELLED,WEST
176,,2023-12-16 12:12:14,SHIPPED,SOUTH
177,92,2023-04-16 15:16:35,CANCELLED,EAST
178,61,27-09-2023,DELIVERED,NORTH
179,438,2025-10-18 19:47:17,RETURNED,WEST
180,302,2025-09-01 16:31:12,PLACED,NORTH
181,281,2024-07-23 22:33:53,SHIPPED,NORTH
182,29,2024-12-15 01:20:13,PLACED,EAST
183,45,2023-04-11 03:57:52,SHIPPED,SOUTH
184,313,2023-12-30 16:34:42,DELIVERED,NORTH
185,154,2024-10-23 13:25:09,PLACED,WEST
186,34,2024-08-22 17:08:30,DELIVERED,EAST
187,269,2024-03-05 07:36:40,PLACED,NORTH
188,353,2024-08-11 15:32:54,DELIVERED,EAST
189,320,2024-12-25 04:43:21,CANCELLED,WEST
190,93,2024-04-21 10:34:34,PLACED,NORTH
191,,2023-08-30 07:32:55,CANCELLED,WEST
192,,2024-12-17 20:24:14,SHIPPED,NORTH
193,354,2024-07-30 09:15:47,DELIVERED,EAST
194,166,2023-01-13 04:08:40,DELIVERED,WEST
195,316,2023-03-01 06:23:40,DELIVERED,WEST
196,409,2023-03-14 23:30:26,SHIPPED,WEST
197,275,2024-11-17 16:50:16,CANCELLED,NORTH
198,154,2024-10-08 20:12:48,SHIPPED,EAST
199,455,2024-12-25 02:24:38,DELIVERED,NORTH
200,193,2025-12-30 06:02:33,CANCELLED,SOUTH
201,443,2024-09-23 11:27:02,DELIVERED,WEST
202,450,2024-05-01 13:31:44,DELIVERED,SOUTH
203,90,2023-08-18 13:37:29,SHIPPED,NORTH
204,13,2025-09-15 18:12:23,DELIVERED,WEST
205,269,2024-09-27 11:55:04,PLACED,SOUTH
206,19,2025-07-29 14:06:41,RETURNED,NORTH
207,,2023-04-01 21:38:14,DELIVERED,WEST
208,53,2025-12-02 23:59:34,PLACED,EAST
209,108,2024-10-19 07:18:07,DELIVERED,EAST
210,344,2023-08-29 09:55:37,DELIVERED,NORTH
211,,2025-11-18 03:43:38,DELIVERED,EAST
212,483,2024-08-03 20:54:06,PLACED,EAST
213,174,2025-06-27 01:50:48,CANCELLED,NORTH
214,28,2023-06-26 15:31:37,RETURNED,WEST
215,160,2024-11-11 07:12:51,RETURNED,NORTH
216,387,2025-08-11 20:40:21,CANCELLED,NORTH
217,351,2025-08-11 17:07:55,SHIPPED,SOUTH
218,316,2024-06-12 13:13:58,DELIVERED,EAST
219,16,2023-05-14 17:18:23,CANCELLED,WEST
220,145,2024-12-14 22:00:25,RETURNED,NORTH
221,366,2023-08-08 11:51:52,PLACED,EAST
222,206,2025-04-26 08:41:10,RETURNED,SOUTH
223,197,2023-05-16 12:24:18,RETURNED,WEST
224,223,2024-12-01 19:49:32,SHIPPED,NORTH
225,365,2025-09-23 04:09:44,CANCELLED,EAST
226,421,2025-06-30 06:24:51,CANCELLED,NORTH
227,351,2025-02-15 11:55:14,PLACED,NORTH
228,72,2023-01-01 05:20:31,CANCELLED,EAST
229,296,2025-07-04 07:07:26,DELIVERED,EAST
230,468,2024-09-15 15:49:40,DELIVERED,NORTH
231,314,2025-11-11 14:42:58,DELIVERED,NORTH
232,282,2023-04-19 00:01:50,DELIVERED,NORTH
233,444,2023-03-05 08:33:53,RETURNED,WEST
234,365,2025-02-22 14:46:59,RETURNED,SOUTH
235,244,2023-10-12 06:51:11,DELIVERED,WEST
236,447,15-09-2023,PLACED,SOUTH
237,250,13-06-2025,CANCELLED,WEST
238,357,2025-05-21 22:41:30,RETURNED,WEST
239,231,2025-02-26 12:56:10,CANCELLED,NORTH
240,434,2024-04-29 18:16:02,RETURNED,EAST
241,,2023-03-19 20:41:08,DELIVERED,NORTH
242,493,2023-06-13 05:10:23,RETURNED,EAST
243,41,07-12-2025,CANCELLED,NORTH
244,277,01-10-2024,DELIVERED,NORTH
245,263,2025-08-18 20:53:50,CANCELLED,EAST
246,409,2024-08-26 10:31:47,RETURNED,EAST
247,289,2024-06-17 02:14:10,RETURNED,SOUTH
248,337,20-08-2024,CANCELLED,NORTH
249,40,2024-07-23 09:10:36,DELIVERED,EAST
250,8,2023-08-17 21:59:04,RETURNED,SOUTH
251,190,2023-12-26 09:30:42,SHIPPED,WEST
252,271,2023-03-09 12:28:57,SHIPPED,SOUTH
253,386,2025-04-25 13:57:02,CANCELLED,SOUTH
254,376,2024-12-07 01:58:40,PLACED,NORTH
255,205,2025-09-02 10:58:20,RETURNED,SOUTH
256,362,2025-03-09 17:16:45,RETURNED,WEST
257,,2025-07-08 13:54:30,RETURNED,NORTH
258,273,2024-12-25 15:43:15,DELIVERED,EAST
259,411,2023-07-21 09:17:48,CANCELLED,WEST
260,384,2024-05-10 21:26:05,RETURNED,EAST
261,93,03-10-2024,PLACED,NORTH
262,,2023-07-20 19:07:27,CANCELLED,EAST
263,146,30-05-2024,RETURNED,NORTH
264,305,2024-03-20 21:49:22,PLACED,NORTH
265,67,2025-02-08 23:53:54,RETURNED,SOUTH
266,357,2024-01-13 09:13:25,PLACED,WEST
267,142,2025-05-24 11:46:29,PLACED,EAST
268,196,2025-03-06 12:06:41,DELIVERED,EAST
269,36,2025-10-04 07:18:22,SHIPPED,WEST
